ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1172563780,2026-01-27T05:47:02.823000,2026-01-27T06:07:17.127000,sell,0.05,0.05,XAUUSDm,5078,5083.26,5088,,0,0,-26.3,,,user
1172597566,2026-01-27T05:56:16.134000,2026-01-27T06:07:17.127000,sell,0.05,0.05,XAUUSDm,5082.391,5083.26,5088,,0,0,-4.34,,,user
1172554574,2026-01-27T05:38:28.279000,2026-01-27T05:39:19.677000,sell,0.05,0.05,XAUUSDm,5071.561,5071.272,,,0,0,1.45,,,user
1172374070,2026-01-27T04:02:26.971000,2026-01-27T04:15:19.261000,sell,0.05,0.05,XAUUSDm,5076.562,5071.441,,,0,0,25.6,,,user
1172219751,2026-01-27T02:42:16.549000,2026-01-27T02:47:49.979000,sell,0.05,0.05,XAUUSDm,5078.042,5074.885,5083,,0,0,15.78,,,user
1172207531,2026-01-27T02:36:23.361000,2026-01-27T02:47:49.958000,sell,0.05,0.05,XAUUSDm,5071.787,5074.885,5083,,0,0,-15.49,,,user
1172188636,2026-01-27T02:26:05.156000,2026-01-27T02:26:22.004000,sell,0.5,0.5,XAUUSDm,5068.199,5067.639,,,0,0,28,,,user
1172187652,2026-01-27T02:25:17.490000,2026-01-27T02:26:21.877000,sell,0.05,0.05,XAUUSDm,5069.353,5067.641,5080.471,,0,0,8.56,,,user
1172172517,2026-01-27T02:16:15.193000,2026-01-27T02:17:31.911000,sell,0.05,0.05,XAUUSDm,5069.839,5068.307,,,0,0,7.66,,,user
1171441386,2026-01-26T18:45:16.194000,2026-01-26T18:45:22.478000,buy,0.55,0.55,XAUUSDm,5067.481,5069.1230000000005,,,0,0,90.31,,,user
1171434696,2026-01-26T18:42:28.198000,2026-01-26T18:44:41.657000,buy,0.05,0.05,XAUUSDm,5060.989,5065.186,,,0,0,20.98,,,user
1171412291,2026-01-26T18:35:03.469000,2026-01-26T18:38:12.628000,buy,0.05,0.05,XAUUSDm,5071.96,5077.229,5060,,0,0,26.35,,,user
1171407139,2026-01-26T18:33:27.276000,2026-01-26T18:37:59.489000,buy,0.05,0.05,XAUUSDm,5077.237,5077.302,5060,,0,0,0.32,,,user
1171389957,2026-01-26T18:26:02.031000,2026-01-26T18:26:34.745000,sell,0.55,0.55,XAUUSDm,5087.689,5086.716,5090.9,,0,0,53.52,,,user
1171379577,2026-01-26T18:20:54.078000,2026-01-26T18:22:09.815000,sell,0.55,0.55,XAUUSDm,5088.056,5086.206,5090.8,,0,0,101.75,,,user
1171368890,2026-01-26T18:16:19.979000,2026-01-26T18:19:04.812000,buy,0.05,0.05,XAUUSDm,5083.392,5086.775000000001,,,0,0,16.92,,,user
1171370989,2026-01-26T18:17:13.551000,2026-01-26T18:18:18.172000,buy,0.05,0.05,XAGUSDm,115.59,115.667,,,0,0,19.25,,,user
